agent_id,agent_name,deployment_mode,status,idle_ram_mb,avg_ram_mb,peak_ram_mb,private_ram_mb,cpu_percent,peak_cpu_percent,vram_mb,peak_vram_mb,disk_mb,process_count,thread_count,startup_seconds,workload,model,memory_classification,measurement_timestamp
Agent #11,EngineeringExecutionAgent,SHARED_RUNTIME / ASYNC_TASK,DEPLOYED,54.41,54.72,55.02,41.49,< 5%,< 12%,0.0,0.0,0.35,1,1,0.9228,Deterministic domain task (50 iters),us.anthropic.claude-3-5-sonnet-20241022-v2:0 (REMOTE_INFERENCE),LIGHT,2026-08-30T20:23:22.141682+00:00
Agent #12,VerificationQAAgent,SHARED_RUNTIME / ASYNC_TASK,DEPLOYED,37.23,37.35,37.48,25.37,< 5%,< 12%,0.0,0.0,0.3,1,1,0.4032,Deterministic domain task (50 iters),us.anthropic.claude-3-5-sonnet-20241022-v2:0 (REMOTE_INFERENCE),LIGHT,2026-08-30T20:23:22.893019+00:00
Agent #13,EngineeringKnowledgeGraphAgent,SHARED_RUNTIME / ASYNC_TASK,DEPLOYED,37.08,37.36,37.63,26.86,< 5%,< 12%,0.0,0.0,0.31,1,1,0.4239,Deterministic domain task (50 iters),us.anthropic.claude-3-5-sonnet-20241022-v2:0 (REMOTE_INFERENCE),LIGHT,2026-08-30T20:23:39.487003+00:00
Agent #14,ProjectLifecycleOrchestrator,SHARED_RUNTIME / ASYNC_TASK,DEPLOYED,37.67,38.03,38.38,27.2,< 5%,< 12%,0.0,0.0,0.29,1,1,0.4768,Deterministic domain task (50 iters),us.anthropic.claude-3-5-sonnet-20241022-v2:0 (REMOTE_INFERENCE),LIGHT,2026-08-30T20:23:56.138580+00:00
Agent #15,EngineeringCopilotAgent,SHARED_RUNTIME / ASYNC_TASK,DEPLOYED,37.92,38.03,38.14,26.97,< 5%,< 12%,0.0,0.0,0.19,1,1,0.5966,Deterministic domain task (50 iters),us.anthropic.claude-3-5-sonnet-20241022-v2:0 (REMOTE_INFERENCE),LIGHT,2026-08-30T20:23:57.172793+00:00
Agent #16,EngineeringChangeControlAgent,SHARED_RUNTIME / ASYNC_TASK,DEPLOYED,37.52,37.64,37.75,26.96,< 5%,< 12%,0.0,0.0,0.2,1,1,0.4811,Deterministic domain task (50 iters),us.anthropic.claude-3-5-sonnet-20241022-v2:0 (REMOTE_INFERENCE),LIGHT,2026-08-30T20:23:58.057246+00:00
Agent #17,EngineeringComplianceAgent,SHARED_RUNTIME / ASYNC_TASK,DEPLOYED,37.49,37.62,37.75,26.94,< 5%,< 12%,0.0,0.0,0.18,1,1,0.4711,Deterministic domain task (50 iters),us.anthropic.claude-3-5-sonnet-20241022-v2:0 (REMOTE_INFERENCE),LIGHT,2026-08-30T20:23:58.950005+00:00
Agent #18,EngineeringVerificationAgent,SHARED_RUNTIME / ASYNC_TASK,DEPLOYED,38.91,39.05,39.2,27.2,< 5%,< 12%,0.0,0.0,0.19,1,1,0.487,Deterministic domain task (50 iters),us.anthropic.claude-3-5-sonnet-20241022-v2:0 (REMOTE_INFERENCE),LIGHT,2026-08-30T20:23:59.856937+00:00
Agent #19,EngineeringSimulationAgent,SHARED_RUNTIME / ASYNC_TASK,DEPLOYED,38.91,39.05,39.18,27.23,< 5%,< 12%,0.0,0.0,0.18,1,1,0.4671,Deterministic domain task (50 iters),us.anthropic.claude-3-5-sonnet-20241022-v2:0 (REMOTE_INFERENCE),LIGHT,2026-08-30T20:24:00.731652+00:00
Agent #20,EngineeringOptimizationAgent,SHARED_RUNTIME / ASYNC_TASK,DEPLOYED,38.71,38.84,38.98,27.04,< 5%,< 12%,0.0,0.0,0.32,1,1,0.4849,Deterministic domain task (50 iters),us.anthropic.claude-3-5-sonnet-20241022-v2:0 (REMOTE_INFERENCE),LIGHT,2026-08-30T20:24:01.807115+00:00
